Recency,Frequency,Monetary,Cluster,segments
326,1,77183.6,3,Regulars
2,7,4310,0,low-engaged
75,4,1797.24,0,low-engaged
19,1,1757.55,0,low-engaged
310,1,334.4,1,churned
36,8,2506.04,0,low-engaged
204,1,89,1,churned
232,1,1079.4,1,churned
214,1,459.4,1,churned
23,3,2811.43,0,low-engaged
33,1,6207.67,0,low-engaged
2,2,1168.06,0,low-engaged
58,4,6372.58,0,low-engaged
52,3,2662.06,0,low-engaged
287,1,189.9,1,churned
3,10,5226.23,0,low-engaged
110,2,552,0,low-engaged
8,4,1313.1,0,low-engaged
291,2,641.38,1,churned
4,1,168.9,0,low-engaged
51,4,3545.69,0,low-engaged
45,2,1887.96,0,low-engaged
72,3,1298.04,0,low-engaged
311,1,364.6,1,churned
25,1,742.93,0,low-engaged
11,2,457.5,0,low-engaged
315,2,1628.12,1,churned
130,1,4008.62,0,low-engaged
82,2,852.24,0,low-engaged
22,4,2724.81,0,low-engaged
5,5,1845.31,0,low-engaged
185,5,1850.56,1,churned
29,2,585.27,0,low-engaged
338,2,401.9,1,churned
16,6,2780.66,0,low-engaged
80,1,549.84,0,low-engaged
22,1,460.89,0,low-engaged
72,4,1582.6,0,low-engaged
64,2,1272.48,0,low-engaged
19,12,3018.63,0,low-engaged
36,2,2409.9,0,low-engaged
46,1,1635.66,0,low-engaged
119,4,1108.65,0,low-engaged
303,1,84.3,1,churned
323,1,225.6,1,churned
50,1,427.7,0,low-engaged
149,1,1710.39,1,churned
22,2,3415.3,0,low-engaged
50,5,1708.12,0,low-engaged
33,5,2888.55,0,low-engaged
79,3,11072.67,0,low-engaged
309,2,693.33,1,churned
75,3,1226.88,0,low-engaged
67,3,758.1,0,low-engaged
217,3,562.41,1,churned
24,21,124914.53,2,vip
3,9,3649.1,0,low-engaged
113,1,668.58,0,low-engaged
64,1,600.39,0,low-engaged
16,4,807.04,0,low-engaged
96,3,803.56,0,low-engaged
1,8,1859.31,0,low-engaged
163,2,1760.96,1,churned
78,1,777.2,0,low-engaged
195,1,582.73,1,churned
22,3,825.8,0,low-engaged
26,9,7956.46,0,low-engaged
9,4,3750.4,0,low-engaged
43,1,256.4,0,low-engaged
36,15,6487.45,3,Regulars
43,5,5059.32,0,low-engaged
1,7,13375.87,0,low-engaged
85,2,806.14,0,low-engaged
80,2,7829.89,0,low-engaged
100,1,509.01,0,low-engaged
2,18,4951.41,3,Regulars
14,2,2906.85,0,low-engaged
367,1,173.55,1,churned
3,1,172.06,0,low-engaged
21,5,5005.46,0,low-engaged
22,1,133.4,0,low-engaged
58,1,1002.31,0,low-engaged
243,1,476.49,1,churned
44,1,449.45,0,low-engaged
22,4,4067.29,0,low-engaged
156,2,197.88,1,churned
11,5,9035.52,0,low-engaged
17,2,430.57,0,low-engaged
134,1,707.09,0,low-engaged
56,1,3528.34,0,low-engaged
73,6,2466.86,0,low-engaged
44,3,3181.04,0,low-engaged
66,7,2363.23,0,low-engaged
71,2,947.4,0,low-engaged
94,2,826.88,0,low-engaged
19,2,1189.59,0,low-engaged
53,4,1344.78,0,low-engaged
10,8,1212.05,0,low-engaged
17,2,742.19,0,low-engaged
188,2,729.54,1,churned
2,30,19824.05,3,Regulars
32,7,6572.11,0,low-engaged
29,5,3938.55,0,low-engaged
17,18,7375.79,3,Regulars
54,1,723.38,0,low-engaged
16,11,6816.42,0,low-engaged
23,6,13219.74,0,low-engaged
4,1,680.99,0,low-engaged
11,1,527.2,0,low-engaged
28,4,3281.63,0,low-engaged
23,10,5596.32,0,low-engaged
17,8,2484.98,0,low-engaged
33,6,4541.72,0,low-engaged
10,3,1298.66,0,low-engaged
336,1,334.93,1,churned
5,10,5417.93,0,low-engaged
39,1,460.4,0,low-engaged
63,2,263.21,0,low-engaged
166,2,433.74,1,churned
16,7,1246.1,0,low-engaged
82,1,1043.1,0,low-engaged
21,3,403.7,0,low-engaged
23,11,4257.82,0,low-engaged
337,1,2169.39,1,churned
96,5,3723.87,0,low-engaged
18,2,482.05,0,low-engaged
233,1,73.5,1,churned
134,3,1304.81,0,low-engaged
26,2,398.27,0,low-engaged
284,1,176.5,1,churned
143,2,982.57,0,low-engaged
66,2,138.03,0,low-engaged
113,1,612.29,0,low-engaged
267,1,1017.68,1,churned
353,1,383.7,1,churned
78,2,1312.06,0,low-engaged
28,5,2502.84,0,low-engaged
1,5,2056.89,0,low-engaged
64,1,340.84,0,low-engaged
