CustomerID,Recency,Frequency,Monetary,FirstPurchase,LastPurchase,TenureDays,TenureYears,AvgOrder,PurchasesPerYear,est_CLV_1yr,est_CLV_tenure,CohortMonth
12346.0,326,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,1,0.0,77183.6,365.0,28172014.0,77183.6,2011-01
12347.0,2,7,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,365,1.0,615.71,7.0,4310.0,4310.0,2010-12
12348.0,75,4,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,282,0.77,449.31,5.18,2326.21,1797.24,2010-12
12349.0,19,1,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,1,0.0,1757.55,365.0,641505.75,1757.55,2011-11
12350.0,310,1,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,1,0.0,334.4,365.0,122056.0,334.4,2011-02
12352.0,36,8,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,260,0.71,313.26,11.23,3518.09,2506.04,2011-02
12353.0,204,1,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,0.0,89.0,365.0,32485.0,89.0,2011-05
12354.0,232,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,1,0.0,1079.4,365.0,393981.0,1079.4,2011-04
12355.0,214,1,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,1,0.0,459.4,365.0,167681.0,459.4,2011-05
12356.0,23,3,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,302,0.83,937.14,3.63,3397.92,2811.43,2011-01
12357.0,33,1,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,1,0.0,6207.67,365.0,2265799.55,6207.67,2011-11
12358.0,2,2,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,149,0.41,584.03,4.9,2861.36,1168.06,2011-07
12359.0,58,4,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,274,0.75,1593.14,5.33,8489.02,6372.58,2011-01
12360.0,52,3,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,148,0.41,887.35,7.4,6565.22,2662.06,2011-05
12361.0,287,1,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,1,0.0,189.9,365.0,69313.5,189.9,2011-02
12362.0,3,10,5226.23,2011-02-17 10:30:00,2011-12-06 15:40:00,292,0.8,522.62,12.5,6532.79,5226.23,2011-02
12363.0,110,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,0.36,276.0,5.53,1526.36,552.0,2011-04
12364.0,8,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,104,0.28,328.28,14.04,4608.48,1313.1,2011-08
12365.0,291,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,1,0.0,320.69,730.0,234103.7,641.38,2011-02
12367.0,4,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,1,0.0,168.9,365.0,61648.5,168.9,2011-12
12370.0,51,4,3545.69,2010-12-14 12:58:00,2011-10-19 14:51:00,309,0.85,886.42,4.72,4188.27,3545.69,2010-12
12371.0,45,2,1887.96,2011-10-11 10:43:00,2011-10-26 10:16:00,14,0.04,943.98,52.14,49221.81,1887.96,2011-10
12372.0,72,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,224,0.61,432.68,4.89,2115.11,1298.04,2011-02
12373.0,311,1,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,1,0.0,364.6,365.0,133079.0,364.6,2011-02
12374.0,25,1,742.93,2011-11-14 15:37:00,2011-11-14 15:37:00,1,0.0,742.93,365.0,271169.45,742.93,2011-11
12375.0,11,2,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,87,0.24,228.75,8.39,1919.4,457.5,2011-09
12377.0,315,2,1628.12,2010-12-20 09:37:00,2011-01-28 15:45:00,39,0.11,814.06,18.72,15237.53,1628.12,2010-12
12378.0,130,1,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,1,0.0,4008.62,365.0,1463146.3,4008.62,2011-08
12379.0,82,2,852.24,2011-06-22 16:32:00,2011-09-19 10:09:00,88,0.24,426.12,8.3,3534.86,852.24,2011-06
12380.0,22,4,2724.81,2011-06-07 09:49:00,2011-11-18 11:27:00,164,0.45,681.2,8.9,6064.36,2724.81,2011-06
12381.0,5,5,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,115,0.32,369.06,15.87,5856.85,1845.31,2011-08
12383.0,185,5,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,167,0.46,370.11,10.93,4044.64,1850.56,2010-12
12384.0,29,2,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,92,0.25,292.64,7.93,2322.0,585.27,2011-08
12386.0,338,2,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,29,0.08,200.95,25.17,5058.4,401.9,2010-12
12388.0,16,6,2780.66,2011-01-17 11:12:00,2011-11-24 12:30:00,311,0.85,463.44,7.04,3263.48,2780.66,2011-01
12390.0,80,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,1,0.0,549.84,365.0,200691.6,549.84,2011-09
12391.0,22,1,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,1,0.0,460.89,365.0,168224.85,460.89,2011-11
